school of athens, itr, raphael, 1509-1511
arnolfini wedding portrait, nor, jan van eyck, 1434
self portrait, nor, albrecht durer, 1500
garden of earthly delights, nor, hieronymus bosch, 1490-1510
visions of tondal, nor, hieronymus bosch, 1490-1500
vision of tundale, nor, unknown, 1485
tower of babel, nor, pieter bruegel the elder, 1563
netherlandish proverbs, nor, pieter bruegel the elder, 1559
landscape with the fall of icarus, nor, pieter bruegel the elder, 1560
portrait of erasmus of rotterdam, nor, hans holbein the younger, 1523
betrothal portrait of anne of cleves, nor, hans holbein the younger, 1539
portrait of henry viii, nor, hans holbein the younger, unknown date
portrait of christina of denmark, nor, hans holbein the younger, 1538
ugly duchess, nor, quinten matsys, 1513
judith in the tent of holofernes, nor, johann liss, 1624-1625
salome with the head of john the baptist, nor, jacob cornelisz van oostanen, 1574
landscape with bathsheba, nor, jan van scorel, 1540-1545
egg dance, nor, pieter aartsen, 1552
well stocked kitchen, nor, joachim beuckelaer, 1566
tomb of pope julius ii, itr, michelangelo, 1505-1545
martydom of st. matthew, bar, caravaggio, 1599-1600
fortune teller, bar, caravaggio, 1595
musicians, bar, caravaggio, 1595
judith beheading holofernes, bar, caravaggio, 1598-1599
david victorious over goliath, bar, caravaggio, 1599
entombment of christ, bar, caravaggio, 1603-1604
death of the virgin, bar, caravaggio, 1604-1606
salome receives the head of john the baptist, bar, caravaggio, 1609-1610
portrait of beatrice cenci, bar, guido reni, 1600
self portrait, bar, rembrandt, 1629
self portrait, bar, rembrandt, 1640
self portrait, bar, rembrandt, 1669
wanderer above the sea of fog, rom, caspar david friedrich, 1818
solitary tree, rom, caspar david friedrich, 1822
winter landscape with church, rom, caspar david friedrich, 1811
cloister cemetery in the snow, rom, caspar david friedrich, 1817-1819
stonehenge, rom, john constable, 1835
nightmare (the incubus), rom, henry fuseli, 1781
lady macbeth, rom, henry fuseli, 1784
seventh plague of egypt, rom, john martin, 1823
joshua commanding the sun to stand still, rom, john martin, 1816
liberty leading the people, rom, eugene delacroix, 1830
deluge, rom, francis danby, 1840
pandemonium, rom, john martin, 1841
stonebreakers, rel, gustave courbet, 1849
gleaners, rel, millet, 1857
first daguerreotype, rel, daguerre, 1837
erection of the nelson column, rel, william henry fox talbot, 1843
sketch for carroling, rel, hp robinson, 1887
portrait of sarah bernhardt, rel, felix nadar, 1859
dejeuner sur l'herb, pri, manet, 1863
bal du moulin de galette, imp, renoir, 1876
paris a rainy day, imp, gustave caillebotte, 1877
under the trees, imp, kuroda seiki, 1898
impression sunrise, imp, monet, 1872
starry night, imp, van gogh, 1889
demoiselles d'avignon, cub, picasso, 1907
square with white border, abs, kandinsky, 1913
emperor justinian and his retinues, pre, unknown, 547
tribute money, itr, masaccio, 1425
wilton diptych, pre, unknown, 1395
small cowper madonna, itr, raphael, 1504-1505
golden madonna of essen, pre, unknown, 980
rottgen pieta, pre, unknown, late 1200s
la pieta, itr, michelangelo, 1498-1499
david, itr, michelangelo, 1501-1504
rebellious slave, itr, michelangelo, 1513
dying slave, itr, michelangelo, 1513-1516
birth of venus, itr, sandro botticelli, 1486
primavera, itr, sandro botticelli, 1470-1480
death of marat, neo, jacques louis david, 1793
